id,sentence,emotion
0,Girls are happy when they get flowers,happiness
1,His jaw dropped in disbelief when he saw the price of the concert tickets.,surprise
2,Sometimes the ugly stench makes me wanna throw up.,disgust
3,The foul odor from the garbage bin was disgusting.,disgust
4,"I can�t believe it, they lost the game in the last minute.",sadness
5,Feeling dismissed or belittled fuels my frustration.,anger
6,The food in that restaurant made me feel like vomiting.,disgust
7,John is really excited for the festival next week.,happiness
8,Having a colleague that is a freeloader. makes me feel let down.,sadness
9, Walking alone in the dark forest sends shivers down my spine and fills me with fear.,fear
10,I sprained my ankle,sadness
11,"I love waking up to a warm cup of coffee, knowing it's finally weekend.",happiness
12,"When I do not get something right the first time, I get frustrated.",sadness
13,A clear blue sky lifts my mood.,happiness
14,I told you a thousand times before to leave me alone and mind your own business!,anger
15,Paul started to resent Lola after all the broken promises.,sadness
16,The snake gave everyone a fright.,fear
17,Hearing footsteps behind her in the deserted street made her heart race with fear.,fear
18,My neighbor got nervous when there was a break-in at his house last night.,fear
19,Insects are crawling under my skeen,fear
20,The mere thought of ghosts wandering in the attic gives me goosebumps.,disgust
21,"I got rejected by the university I want to go to, I feel terrible.",sadness
22,That foul smell coming from the bin is enough to make anyone feel disgusted.,disgust
23,My parents are happy when they are at sea.,happiness
24,Rainy days make me feel depressed.,sadness
25,"The taste of the spoiled milk left a lingering disgust, reminding me to double-check expiration dates in the future.",disgust
26,"She bought a new house, so she is over the moon now.",happiness
27,I am enthusiastic about the new block!,happiness
28,She felt betrayed by her family.,sadness
29,I lost my temper and shouted at my dog for making a mess.,anger
30,"There is no time for anything here, just work and work.",sadness
31,It infuriates me when the trains get cancelled.,anger
32,Receiving an unexpected gift on a regular day filled me with wonder.,surprise
33,Stealing makes me furious.,anger
34,Hearing sudden noise from the attic at night makes my heart race with fear.  ,fear
35,Opening a box that has some old memorabilia ,surprise
36,He feels guilty for lying to her.,sadness
37,She was flabbergasted when she saw her favorite celebrity star in the mall.,surprise
38,I froze with fear when I saw a dark shape in the corner of the room.,fear
39,"I went to the dentist and it turned out he was a hedgehog, who would have expected that?",surprise
40,"Road jams are just frustrating, leaving me annoyed and impatient.",anger
41,The eerie silence in the old haunted house made my heart race with fear.,fear
42,Seeing animals in distress makes me cry.,sadness
43,I no longer have the will to live.,sadness
44,The mess from the carnival was revolting. ,disgust
45,I have fear of heights.,fear
46,They lost my parcel in transit !,anger
47,"Every morning, I feel lonely and can hardly eat because of too much stress.",sadness
48,The family cried when the grandfather passed away.,sadness
49,I'm worried about what grade I will receive for my exam.,fear
50,I have a strong aversion against vegetables.,sadness
51,When I loose my keys I get mad at myself.,anger
52,I can't believe you remembered my favourite song for karaoke night!,surprise
53,Kyle angrily closed the door when he was grounded by his parents.,anger
54,Repeatedly hitting the malfunctioning computer out of sheer anger only worsened the situation.,anger
55,Eerie sounds in the abandoned house intensified Mary's fear during the ghost tour.,fear
56,"Heart pounding, she hugged her knees tightly, fearing what lurked in the shadows.",fear
57,Jenna cringed at the overflowing trash bin's pungent odor in the neglected apartment.,disgust
58,I get anxious near the end of the block.,fear
59,The ending of the book surprised me.,surprise
60,Satisfaction from arriving home to your wife and 1 loving daughter is irreplaceable for most people.,happiness
61,Discovering a dent on his car caused an immediate surge of frustration. ,sadness
62,My friend cried watching a rom-com movie.,sadness
63,The plot twist at the end of the movie left us all in disbelief.,surprise
64,I felt surprised when I was told I am going to get promoted.,surprise
65,The way they treat each other is sickening.,disgust
66,We love to cook together every Sunday.,happiness
67,"The sound of thunder made him cower under the covers, gripped by irrational fear. ",fear
68,I'm repelled by people not using deodorant.,disgust
69,Seeing a car approaching faster than expected while crossing the road makes you sweat.,fear
70,Walking in the dark is really scary,fear
71,I often feel disgusted using the public restrooms.,disgust
72,Taste of tomatoes sickens me.,disgust
